"id"	"anno"	"gene"	"A_met"	"A_unmet"	"B_met"	"B_unmet"	"p.value"	"rateA"	"rateB"	"diff"	"padj_fdr"	"log_padj_fdr"	"sig"
"peak_4458"	"MCF7_H3K27ac_peaks"	"POLD4"	1	3	0	3	1	25	0	-25	1	0	FALSE
"peak_44583"	"MCF7_ER_peaks"	NA	1	0	1	0	1	100	100	0	1	0	FALSE
"peak_4459"	"MCF7_H3K27ac_peaks"	"KDM2A"	1	2	0	4	0.428571428571428	33.33	0	-33.33	1	0	FALSE
"peak_4459"	"MCF7_H3K27ac_peaks"	"ADRBK1"	1	2	0	4	0.428571428571428	33.33	0	-33.33	1	0	FALSE
"peak_4459"	"MCF7_H3K27ac_peaks"	"ANKRD13D"	1	2	0	4	0.428571428571428	33.33	0	-33.33	1	0	FALSE
"peak_4459"	"MCF7_H3K27ac_peaks"	"SSH3"	1	2	0	4	0.428571428571428	33.33	0	-33.33	1	0	FALSE
"peak_4459"	"MCF7_H3K27ac_peaks"	"POLD4"	1	2	0	4	0.428571428571428	33.33	0	-33.33	1	0	FALSE
"peak_4474"	"MCF7_H3K27ac_peaks"	"POLD4"	2.01	0.99	2.01	0.99	1	67	67	0	1	0	FALSE
"peak_4474"	"MCF7_H3K27ac_peaks"	"CLCF1"	2.01	0.99	2.01	0.99	1	67	67	0	1	0	FALSE
"peak_4474"	"MCF7_H3K27ac_peaks"	"RAD9A"	2.01	0.99	2.01	0.99	1	67	67	0	1	0	FALSE
"peak_4474"	"MCF7_H3K27ac_peaks"	"PPP1CA"	2.01	0.99	2.01	0.99	1	67	67	0	1	0	FALSE
"peak_4474"	"MCF7_H3K27ac_peaks"	"TBC1D10C"	2.01	0.99	2.01	0.99	1	67	67	0	1	0	FALSE
"peak_4474"	"MCF7_H3K27ac_peaks"	"CARNS1"	2.01	0.99	2.01	0.99	1	67	67	0	1	0	FALSE
"peak_4474"	"MCF7_H3K27ac_peaks"	"RPS6KB2"	2.01	0.99	2.01	0.99	1	67	67	0	1	0	FALSE
"peak_4476"	"MCF7_H3K27ac_peaks"	"POLD4"	0	2	0	4	1	0	0	0	1	0	FALSE
"peak_4476"	"MCF7_H3K27ac_peaks"	"CLCF1"	0	2	0	4	1	0	0	0	1	0	FALSE
"peak_4476"	"MCF7_H3K27ac_peaks"	"RAD9A"	0	2	0	4	1	0	0	0	1	0	FALSE
"peak_4476"	"MCF7_H3K27ac_peaks"	"PPP1CA"	0	2	0	4	1	0	0	0	1	0	FALSE
"peak_4476"	"MCF7_H3K27ac_peaks"	"TBC1D10C"	0	2	0	4	1	0	0	0	1	0	FALSE
"peak_4476"	"MCF7_H3K27ac_peaks"	"CARNS1"	0	2	0	4	1	0	0	0	1	0	FALSE
"peak_4476"	"MCF7_H3K27ac_peaks"	"RPS6KB2"	0	2	0	4	1	0	0	0	1	0	FALSE
"peak_4476"	"MCF7_H3K27ac_peaks"	"PTPRCAP"	0	2	0	4	1	0	0	0	1	0	FALSE
"peak_4476"	"MCF7_H3K27ac_peaks"	"CORO1B"	0	2	0	4	1	0	0	0	1	0	FALSE
"peak_448"	"MCF7_H3K27ac_peaks"	"TCEA3"	0	2	0	2	1	0	0	0	1	0	FALSE
"peak_448"	"MCF7_H3K27ac_peaks"	"ASAP3"	0	2	0	2	1	0	0	0	1	0	FALSE
"peak_4482"	"MCF7_H3K27ac_peaks"	"NUDT8"	0	5	2	2	0.166666666666667	0	50	50	1	0	FALSE
"peak_4482"	"MCF7_H3K27ac_peaks"	"TBX10"	0	5	2	2	0.166666666666667	0	50	50	1	0	FALSE
"peak_4482"	"MCF7_H3K27ac_peaks"	"ACY3"	0	5	2	2	0.166666666666667	0	50	50	1	0	FALSE
"peak_4482"	"MCF7_H3K27ac_peaks"	"ALDH3B2"	0	5	2	2	0.166666666666667	0	50	50	1	0	FALSE
"peak_4488"	"MCF7_H3K27ac_peaks"	"CHKA"	5	0	2.01	0.99	0.375	100	67	-33	1	0	FALSE
"peak_4488"	"MCF7_H3K27ac_peaks"	"SUV420H1"	5	0	2.01	0.99	0.375	100	67	-33	1	0	FALSE
"peak_4489"	"MCF7_H3K27ac_peaks"	"SUV420H1"	4.94	26.06	0	1	1	15.94	0	-15.94	1	0	FALSE
"peak_4489"	"MCF7_H3K27ac_peaks"	"C11orf24"	4.94	26.06	0	1	1	15.94	0	-15.94	1	0	FALSE
"peak_4495"	"MCF7_H3K27ac_peaks"	"MTL5"	9	0	1	0	1	100	100	0	1	0	FALSE
"peak_4495"	"MCF7_H3K27ac_peaks"	"CPT1A"	9	0	1	0	1	100	100	0	1	0	FALSE
"peak_4521"	"MCF7_H3K27ac_peaks"	NA	1	1	0	1	1	50	0	-50	1	0	FALSE
"peak_4522"	"MCF7_H3K27ac_peaks"	NA	0	1	1	0	1	0	100	100	1	0	FALSE
"peak_45230"	"MCF7_ER_peaks"	"CLDN11"	1	0	0	1	1	100	0	-100	1	0	FALSE
"peak_45230"	"MCF7_ER_peaks"	"SLC7A14"	1	0	0	1	1	100	0	-100	1	0	FALSE
"peak_4529"	"MCF7_H3K27ac_peaks"	"CCND1"	0	3	0	4	1	0	0	0	1	0	FALSE
"peak_4529"	"MCF7_H3K27ac_peaks"	"ORAOV1"	0	3	0	4	1	0	0	0	1	0	FALSE
"peak_4529"	"MCF7_H3K27ac_peaks"	"FGF19"	0	3	0	4	1	0	0	0	1	0	FALSE
"peak_4530"	"MCF7_H3K27ac_peaks"	"CCND1"	5	12	0	2	1	29.41	0	-29.41	1	0	FALSE
"peak_4530"	"MCF7_H3K27ac_peaks"	"ORAOV1"	5	12	0	2	1	29.41	0	-29.41	1	0	FALSE
"peak_4530"	"MCF7_H3K27ac_peaks"	"FGF19"	5	12	0	2	1	29.41	0	-29.41	1	0	FALSE
"peak_4536"	"MCF7_H3K27ac_peaks"	"ANO1"	0	2	0	1	1	0	0	0	1	0	FALSE
"peak_4536"	"MCF7_H3K27ac_peaks"	"FADD"	0	2	0	1	1	0	0	0	1	0	FALSE
"peak_4536"	"MCF7_H3K27ac_peaks"	"PPFIA1"	0	2	0	1	1	0	0	0	1	0	FALSE
"peak_4538"	"MCF7_H3K27ac_peaks"	"FADD"	1	0	1	1	1	100	50	-50	1	0	FALSE
"peak_4538"	"MCF7_H3K27ac_peaks"	"PPFIA1"	1	0	1	1	1	100	50	-50	1	0	FALSE
"peak_4543"	"MCF7_H3K27ac_peaks"	"PPFIA1"	0	9	2	8	0.473684210526316	0	20	20	1	0	FALSE
"peak_4549"	"MCF7_H3K27ac_peaks"	"SHANK2"	0	2	1	0	0.333333333333333	0	100	100	1	0	FALSE
"peak_4556"	"MCF7_H3K27ac_peaks"	"DHCR7"	2	4	1	0	0.428571428571429	33.33	100	66.67	1	0	FALSE
"peak_4556"	"MCF7_H3K27ac_peaks"	"NADSYN1"	2	4	1	0	0.428571428571429	33.33	100	66.67	1	0	FALSE
"peak_45568"	"MCF7_ER_peaks"	"EIF2B5"	4	1	2	0	1	80	100	20	1	0	FALSE
"peak_45568"	"MCF7_ER_peaks"	"DVL3"	4	1	2	0	1	80	100	20	1	0	FALSE
"peak_45568"	"MCF7_ER_peaks"	"AP2M1"	4	1	2	0	1	80	100	20	1	0	FALSE
"peak_45568"	"MCF7_ER_peaks"	"ABCF3"	4	1	2	0	1	80	100	20	1	0	FALSE
"peak_45568"	"MCF7_ER_peaks"	"VWA5B2"	4	1	2	0	1	80	100	20	1	0	FALSE
"peak_45584"	"MCF7_ER_peaks"	"VPS8"	2	1	4	0	0.428571428571428	66.67	100	33.33	1	0	FALSE
"peak_4564"	"MCF7_H3K27ac_peaks"	"DHCR7"	5	4	0	2	0.454545454545455	55.56	0	-55.56	1	0	FALSE
"peak_4564"	"MCF7_H3K27ac_peaks"	"NADSYN1"	5	4	0	2	0.454545454545455	55.56	0	-55.56	1	0	FALSE
"peak_4564"	"MCF7_H3K27ac_peaks"	"KRTAP5-7"	5	4	0	2	0.454545454545455	55.56	0	-55.56	1	0	FALSE
"peak_4564"	"MCF7_H3K27ac_peaks"	"KRTAP5-8"	5	4	0	2	0.454545454545455	55.56	0	-55.56	1	0	FALSE
"peak_45674"	"MCF7_ER_peaks"	"TPRG1"	7	0	1	0	1	100	100	0	1	0	FALSE
"peak_45693"	"MCF7_ER_peaks"	"CLDN1"	0	2	0	2	1	0	0	0	1	0	FALSE
"peak_45693"	"MCF7_ER_peaks"	"CLDN16"	0	2	0	2	1	0	0	0	1	0	FALSE
"peak_457"	"MCF7_H3K27ac_peaks"	"ID3"	0	1	2	0	0.333333333333333	0	100	100	1	0	FALSE
"peak_457"	"MCF7_H3K27ac_peaks"	"MDS2"	0	1	2	0	0.333333333333333	0	100	100	1	0	FALSE
"peak_4570"	"MCF7_H3K27ac_peaks"	"RNF121"	1.99	11.01	0	1	1	15.31	0	-15.31	1	0	FALSE
"peak_4570"	"MCF7_H3K27ac_peaks"	"IL18BP"	1.99	11.01	0	1	1	15.31	0	-15.31	1	0	FALSE
"peak_4570"	"MCF7_H3K27ac_peaks"	"NUMA1"	1.99	11.01	0	1	1	15.31	0	-15.31	1	0	FALSE
"peak_4570"	"MCF7_H3K27ac_peaks"	"LRTOMT"	1.99	11.01	0	1	1	15.31	0	-15.31	1	0	FALSE
"peak_4570"	"MCF7_H3K27ac_peaks"	"LAMTOR1"	1.99	11.01	0	1	1	15.31	0	-15.31	1	0	FALSE
"peak_4573"	"MCF7_H3K27ac_peaks"	"NUMA1"	0	6	0	1	1	0	0	0	1	0	FALSE
"peak_4573"	"MCF7_H3K27ac_peaks"	"LRTOMT"	0	6	0	1	1	0	0	0	1	0	FALSE
"peak_4573"	"MCF7_H3K27ac_peaks"	"LAMTOR1"	0	6	0	1	1	0	0	0	1	0	FALSE
"peak_4573"	"MCF7_H3K27ac_peaks"	"ANAPC15"	0	6	0	1	1	0	0	0	1	0	FALSE
"peak_4573"	"MCF7_H3K27ac_peaks"	"FOLR3"	0	6	0	1	1	0	0	0	1	0	FALSE
"peak_45809"	"MCF7_ER_peaks"	"APOD"	2	0	1	0	1	100	100	0	1	0	FALSE
"peak_4584"	"MCF7_H3K27ac_peaks"	"FOLR1"	0	4	0	7	1	0	0	0	1	0	FALSE
"peak_4584"	"MCF7_H3K27ac_peaks"	"FOLR2"	0	4	0	7	1	0	0	0	1	0	FALSE
"peak_4584"	"MCF7_H3K27ac_peaks"	"INPPL1"	0	4	0	7	1	0	0	0	1	0	FALSE
"peak_4584"	"MCF7_H3K27ac_peaks"	"PHOX2A"	0	4	0	7	1	0	0	0	1	0	FALSE
"peak_45842"	"MCF7_ER_peaks"	"WDR53"	1	8	1	0	0.2	11.11	100	88.89	1	0	FALSE
